Front,Back
-agana,-agana
"say goodbye to each other, take leave of one another","say goodbye to each other, take leave of one another"
baada ya,baada ya
after,after
baina ya,baina ya
"between, among","between, among"
-bisha hodi,-bisha hodi
"call ""hodi"" to seek entrance","call ""hodi"" to seek entrance"
dada,dada
elder sister,elder sister
hapana,hapana
no,no
heri,heri
"happiness, blessedness, good fortune","happiness, blessedness, good fortune"
hodi,hodi
"called to seek entrance (i.e. ""can i come in"")","called to seek entrance (i.e. ""can i come in"")"
-kali,-kali
"strict, hard, tough, sharp","strict, hard, tough, sharp"
karibu,karibu
"come in, welcome","come in, welcome"
kijana,kijana
"youth, young person","youth, young person"
vijana,vijana
"youths, young people","youths, young people"
kwa,kwa
"with, by, to, fot","with, by, to, fot"
kwa heri ya kuonana,kwa heri ya kuonana
goodbye until we see each other again,goodbye until we see each other again
la,la
no,no
marahaba,marahaba
"response to ""shikamoo""","response to ""shikamoo"""
mkali,mkali
"strict, hard, tough person","strict, hard, tough person"
wakali,wakali
"strict, hard, tough people","strict, hard, tough people"
mzuri,mzuri
good (person),good (person)
wazuri,wazuri
good (people),good (people)
nani?,nani?
who?,who?
nyumbani,nyumbani
"at home, at the house","at home, at the house"
-onana,-onana
see one another,see one another
shikamoo,shikamoo
greeting for elders and superious,greeting for elders and superious
si,si
"is not, are not","is not, are not"
-zungumza,-zungumza
"converse, chat","converse, chat"
amkio,amkio
greeting,greeting
maamkio,maamkio
greetings,greetings
au,au
or,or
kwa muda,kwa muda
for a period of time,for a period of time
msamiati,msamiati
vocabulary,vocabulary
misamiati,misamiati
vocabularies,vocabularies
muda,muda
period of time,period of time
zoezi,zoezi
exercise,exercise
mazoezi,mazoezi
exercises,exercises
