Front,Back
-enu,-enu
"your, yours (pl.)","your, yours (pl.)"
jamaa,jamaa
family (sg. and pl.),family (sg. and pl.)
-jua,-jua
know,know
Marekani,Marekani
America (or Amerika),America (or Amerika)
Mkenya,Mkenya
Kenyan,Kenyan
Wakenya,Wakenya
Kenyans,Kenyans
Mmarekani,Mmarekani
American (preferred in Tanzania),American (preferred in Tanzania)
Wamarekani,Wamarekani
Americans (preferred in Tanzania),Americans (preferred in Tanzania)
Mtanzania,Mtanzania
Tanzanian,Tanzanian
Watanzania,Watanzania
Tanzanians,Tanzanians
Mwamerika,Mwamerika
American,American
Wamerika,Wamerika
Americans,Americans
mzaliwa,mzaliwa
"native, native born","native, native born"
wazaliwa,wazaliwa
"natives, native born people","natives, native born people"
nyote,nyote
all of you,all of you
wote,wote
"all (people), everyone","all (people), everyone"
sote,sote
all of us,all of us
rais,rais
president,president
marais,marais
presidents,presidents
vema,vema
"very well, very good, fine, etc.","very well, very good, fine, etc."
yangu,yangu
"my, mine (used with works like ""jamaa"", ""mama"", and ""baba"")","my, mine (used with works like ""jamaa"", ""mama"", and ""baba"")"
zenu,zenu
"your, yours (pl. used with nouns like ""habari"")","your, yours (pl. used with nouns like ""habari"")"
Baba Taifa,Baba Taifa
Father of the Nation,Father of the Nation
darasa,darasa
"class room, class","class room, class"
madarasa,madarasa
"class rooms, classes","class rooms, classes"
-eleza,-eleza
explain,explain
hawajui,hawajui
they don't know,they don't know
hizi,hizi
these,these
kiongozi,kiongozi
leader,leader
viongozi,viongozi
leaders,leaders
kwamba,kwamba
that (conjunction),that (conjunction)
mashariki,mashariki
east,east
mheshimiwa,mheshimiwa
"respected person, honored person","respected person, honored person"
waheshimiwa,waheshimiwa
"respected people, honored people (pl.)","respected people, honored people (pl.)"
mtukufu,mtukufu
exalted person,exalted person
watukufu,watukufu
exalted people (pl.),exalted people (pl.)
nchi,nchi
"country, land (sg. and pl.)","country, land (sg. and pl.)"
taifa,taifa
nation,nation
mataifa,mataifa
nations,nations
siku,siku
day (sg. and pl.),day (sg. and pl.)
siku za leo,siku za leo
these days,these days
yaani,yaani
"that is (""i.e."")","that is (""i.e."")"
zamani,zamani
"old, long ago, past","old, long ago, past"
