Front,Back
intee 3omrik kum?,intee 3omrik kum?
I'm fifteen,I'm fifteen
ana hamstashar,ana hamstashar
I'm twenty seven,I'm twenty seven
ana saba3 oo 3eshreen.,ana saba3 oo 3eshreen.
must,must
lazim,lazim
Go,Go
amshee,amshee
I must go,I must go
ana lazim amshee,ana lazim amshee
I'm going home (masculine),I'm going home (masculine)
ana mashee bait/baitee,ana mashee bait/baitee
I'm going home (feminine),I'm going home (feminine)
ana masha bait/baitee,ana masha bait/baitee
Home,Home
bait,bait
What's up?,What's up?
al HaaSil shinu?,al HaaSil shinu?
I'm hungry (masculine),I'm hungry (masculine)
ana jay'3an,ana jay'3an
I'm hungry (feminine),I'm hungry (feminine)
ana jay'3ana,ana jay'3ana
I'm going to eat (masculine),I'm going to eat (masculine)
ana mashee akol,ana mashee akol
I'm going to eat (feminine),I'm going to eat (feminine)
ana masha akol,ana masha akol
Come with me,Come with me
arah ma3ae,arah ma3ae
Lets go (masculine),Lets go (masculine)
arahka,arahka
Let's go (feminine),Let's go (feminine)
arahkee,arahkee
With him,With him
ma3hoo,ma3hoo
With her,With her
ma3aha,ma3aha
with me,with me
ma3iyana,ma3iyana
Come here (masculine),Come here (masculine)
ta3al,ta3al
Come here (feminine),Come here (feminine)
ta3alee,ta3alee
Lets go (another way),Lets go (another way)
yala namshee,yala namshee
Lets go to the movies.,Lets go to the movies.
yala namshee al cinema,yala namshee al cinema
School,School
al madrasa,al madrasa
I'm going to school (feminine),I'm going to school (feminine)
ana masha al madrasa,ana masha al madrasa
Where are you going? (Masculine),Where are you going? (Masculine)
mashee wain?,mashee wain?
