Front,Back
asante,asante
"thanks, thank you","thanks, thank you"
asanteni,asanteni
"thanks (pl.), thank you (pl.)","thanks (pl.), thank you (pl.)"
habari zenu?,habari zenu?
how are you?,how are you?
hamjambo,hamjambo
"hello, how are you (pl.)","hello, how are you (pl.)"
ninyi,ninyi
you (pl.),you (pl.)
somo,somo
"lesson, reading","lesson, reading"
masomo,masomo
"lessons, readings","lessons, readings"
tu,tu
"only, just, merely, quite","only, just, merely, quite"
wengi,wengi
many (refers only to people),many (refers only to people)
-amkiana,-amkiana
greet one another,greet one another
lakini,lakini
but,but
-jibu,-jibu
answer (a question),answer (a question)
mimi,mimi
I,I
ni,ni
is/are; it is; they are,is/are; it is; they are
-uliza,-uliza
ask (a question),ask (a question)
