Front,Back
bweni,bweni
dormitory,dormitory
mabweni,mabweni
dormitories,dormitories
chuo kikuu,chuo kikuu
university,university
vyuo vikuu,vyuo vikuu
universities,universities
-fundisha,-fundisha
teach,teach
gani?,gani?
"what kind, what sort?","what kind, what sort?"
isimu ya lugha,isimu ya lugha
linguistics,linguistics
-kaa,-kaa
"live, reside; stay, remain; sit","live, reside; stay, remain; sit"
kwa nini?,kwa nini?
why?,why?
lugha,lugha
language (sg. and pl.),language (sg. and pl.)
maabara,maabara
laboratory (sg. and pl.),laboratory (sg. and pl.)
mtaa,mtaa
"street, section/quarter of town, neighborhood","street, section/quarter of town, neighborhood"
mitaa,mitaa
"streets, sections/quarters of town, neighborhoods (pl.)","streets, sections/quarters of town, neighborhoods (pl.)"
nani?,nani?
who?,who?
nini?,nini?
what?,what?
njia,njia
"road, street, path (sg. and pl.)","road, street, path (sg. and pl.)"
-safiri,-safiri
travel,travel
-soma,-soma
"study, read","study, read"
somo,somo
"lesson, study","lesson, study"
masomo,masomo
"lessons, studies","lessons, studies"
-taka,-taka
"want, desire","want, desire"
-toka,-toka
come from,come from
utafiti,utafiti
research,research
digri,digri
degree (sg. and pl. -- borrowed from English),degree (sg. and pl. -- borrowed from English)
-fanya,-fanya
"do, make","do, make"
-fanya kazi,-fanya kazi
"work, do work","work, do work"
hapa,hapa
here,here
hospitali,hospitali
hospital,hospital
katika,katika
"in, on","in, on"
mji,mji
"town, city (in some contexts, ""homestead"")","town, city (in some contexts, ""homestead"")"
miji,miji
"towns, cities (in some contexts, ""homesteads"")","towns, cities (in some contexts, ""homesteads"")"
mke,mke
wife,wife
wake,wake
wives,wives
mume,mume
husband,husband
waume,waume
husbands,husbands
-pata,-pata
"get, obtain","get, obtain"
pia,pia
also,also
-rudi,-rudi
return,return
shahada,shahada
degree (sg. and pl. -- borrowed from Arabic),degree (sg. and pl. -- borrowed from Arabic)
wao,wao
they,they
