Front,Back
baba,baba
father,father
hajambo,hajambo
is s/he well?,is s/he well?
hawajambo,hawajambo
are they well?,are they well?
je,je
question particle,question particle
juu ya,juu ya
"about, concerning, on","about, concerning, on"
lakini,lakini
but,but
mama,mama
mother,mother
mgonjwa,mgonjwa
"sick (adjective), sick person","sick (adjective), sick person"
wagonjwa,wagonjwa
"sick (adjective), sick people (pl.)","sick (adjective), sick people (pl.)"
jioni,jioni
evening (about 4 to 7 PM),evening (about 4 to 7 PM)
kidogo,kidogo
"a little bit, somewhat, a little (adverb)","a little bit, somewhat, a little (adverb)"
mimi,mimi
"I, me","I, me"
wewe,wewe
you,you
yeye,yeye
he or she,he or she
sisi,sisi
"we, us","we, us"
ninyi,ninyi
you (pl.),you (pl.)
wao,wao
"they, them","they, them"
habari zako,habari zako
how are you?,how are you?
mtoto,mtoto
child,child
watoto,watoto
children,children
mzee,mzee
"old person, elder","old person, elder"
wazee,wazee
"old people, elders","old people, elders"
ndiyo,ndiyo
yes,yes
ndio,ndio
"yes (alternate spelling of ""nydio"")","yes (alternate spelling of ""nydio"")"
nyumba,nyumba
"home, house (sg. and pl.)","home, house (sg. and pl.)"
nyumbani,nyumbani
"at home (also 'in, at, on the house')","at home (also 'in, at, on the house')"
swali,swali
question,question
maswali,maswali
questions,questions
wako,wako
"your, yours","your, yours"
wengine,wengine
"others, some (refers only to people)","others, some (refers only to people)"
zako,zako
"you, yours","you, yours"
